Date,Casualties,Location,Perpetrators,Claimed Responsibility,Locations,Method,Retaliation,Government Accusations,Government Response,Perpetrator,Event Name,Type of Attack,Attack Method,13/07/2018,Response,Mastermind,Perpetrator/Mastermind,Time,Sufi Order,Tribe,Global Condemnation,Government Forces Involvement,Planned Follow-up Attacks,Motivation,Background,Attack Details,Outcome,31 January 2016,21 February 2016,Attack Methods,trigger
,,,,,,,,,,,,,,Abu Bakar al-Pakistani,,,,,,,,,,,,,,,,,13 July 2018 Pakistan bombings
14/10/2017,"587 killed, 316 injured",Mogadishu,al-Shabaab,None,,Truck bombings,,,Three days of mourning,,,,,,,,,,,,,,,,,,,,,,14 October 2017 Mogadishu bombings
19/12/2016,"12 dead, 56 injured","Breitscheidplatz, Berlin",,Islamic State of Iraq and the Levant,,,,,,Anis Amri,,,,,Perpetrator killed in shootout with police,,,,,,,,,,,,,,,,2016 Berlin truck attack
22 March 2016,"32 civilians dead, 300+ injured",,Islamic State,Islamic State,"Brussels Airport, Maalbeek metro station",,,,,,2016 Brussels bombings,,,,,,,,,,,,,,,,,,,,2016 Brussels bombings
3 July 2016,"340 dead, hundreds injured",Baghdad,,,,Suicide truck bomb,,,,,,,,,,Ghazwan al-Zawbaee,,,,,,,,,,,,,,,2016 Karrada bombing
14 July 2016,"86 dead, 458 injured","Nice, France",,Islamic State,,Truck attack,,,,,,,,,,,Mohamed Lahouaiej-Bouhlel,,,,,,,,,,,,,,2016 Nice truck attack
15/04/2017,126 killed (including 80 children),"Aleppo, Syria",Unknown,Unknown,,,,,,,,Car bomb,,,,,,,,,,,,,,,,,,,2017 Aleppo suicide car bombing
17/08/2017,"14 killed, at least 130 injured",,"Terrorist cell members, Younes Abouyaaqoub",Islamic State (indirectly),"La Rambla in Barcelona, Cambrils, Alcanar (Spain)",,,Prime Minister called it a jihadist attack,,,,,"Vehicle-ramming, Explosions, Shootings",,,,,,,,,,,,,,,,,,2017 Barcelona attacks
3 June 2017,"8 killed, 48 injured","London, England",Three attackers shot dead by police,Islamic State,,,,,,,,"Vehicle-ramming, stabbing",,,,,,,,,,,,,,,,,,,2017 London Bridge attack
24/11/2017,"311 killed, 128 injured",Al-Rawda,,,,,,,,,,,"Bombs, grenades, firearms",,,,,1:50PM,Jaririya,"Sawarka tribe, Jarira clan",Yes,,,,,,,,,,2017 Sinai mosque attack
7 April 2017,"5 killed, 14 injured","Stockholm, Sweden",,Islamic State,,,,,,"Rakhmat Akilov, Islamic State",,Vehicle-ramming,,,,,,,,,,,,,,,,,,,2017 Stockholm truck attack
7 June 2017,"17 civilians dead, 43 wounded",,Five terrorists belonging to ISIL,,Iranian Parliament building and Mausoleum of Ruhollah Khomeini,,IRGC launched medium-range missiles at ISIL headquarters,"Accused American, Israeli, and Saudi governments",,,2017 Tehran attacks,,,,,,,,,,,,,,,,,,,,2017 Tehran attacks
25 July 2018,"At least 258 killed, 180 injured",,Islamic State of Iraq and the Levant,,"As-Suwayda, Syria",,Local people publicly hanged captured ISIL fighters,,,,2018 As-Suwayda attacks,,,,,,,,,,,"Local Druze militias, Syrian Army",,,,,,,,,2018 As-Suwayda attacks
27 January 2018,"103 killed, 235 wounded","Sidarat Square, Kabul, Afghanistan",Taliban,,,,,,,,,,Vehicle-borne improvised explosive device (ambulance),,,,,,,,,,,,,,,,,,2018 Kabul ambulance bombing
