Date,Injuries,Locations Impacted,Fatalities,Severity of Tornadoes,Location,Deaths,Number of Confirmed Tornadoes,Intensity,Damage Cost,Path Length,Damage Estimate,Number of Tornadoes,Casualties,Path Width,Duration,Fujita Scale Rating,Locations Affected,Risk Warnings Issued,Snowfall Amounts (inches),Year,Other Details,Other Impacts,Total Fatalities,Record Set,States Impacted,"May 9–11, 1953","May 11, 1953",Number of Tornadoes Confirmed,Other Notable Events,Strongest Tornado Rating,Notable Damages/Fatalities,Event Name,Damage,Tornadoes Confirmed,Additional Information,Tornado Intensity Levels,Damage Estimates,Dates,Significant Damages,Severity of Tornado (Fujita Scale Rating),Impacts,People Without Power,Notable Wind Gust Reading,Areas with Damage,Severity,Specific Incident,Other Notable Details,Number of Significant Tornadoes,Most Devastating Tornado Location,Most Devastating Tornado Casualties,Severity of Tornado,Total Number of Confirmed Tornadoes,Affected States,Weather Conditions,"September 29, 1927",January 1967,April 1981,Notable Details,Tornado Intensity,Total Damage Estimate,Additional Tornadoes Confirmed,Total Tornadoes,Significant Events,Deadliest Tornado Rating,Reported Tornadoes,US Fatalities,Europe Fatalities,Japan Fatalities,China Fatalities,Vietnam Fatalities,Canada Fatalities,Worldwide Fatalities,Number of Reported Tornadoes,Confirmed Fatalities,Change in Damage Classification System,Total Reported Tornadoes,Confirmed U.S. Fatalities,International Deaths,Transition to Enhanced Fujita Scale,Worldwide Tornado Reports,Confirmed Tornadoes,Strongest Tornadoes,Name,Atlantic Ocean,Western Pacific Ocean,Australian Region,trigger
"March 8, 1871",60,,,,"St. Louis, Missouri",9,,F3,"$1,500,000",,,,,250 yards wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871 St. Louis tornado
"May 27, 1896",1000+,,255,,"St. Louis, Missouri",,,,$10 million,N/A,,,,,20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896 St. Louis–East St. Louis tornado
"April 5, 1925",35,,,,"Dade County, Florida",5,,Estimated F3,,,"$200–300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925 Miami tornado
"September 29, 1927",550,,,,"St. Louis, Missouri",79,,F3-F4,"$150,000",,,,,100-600 yards wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927 St. Louis–East St. Louis tornado
"April 1-2, 1936",144,"Southeastern United States (Greensboro, NC; Cordele, GA)",,,,14,,F4,$2 million,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 Cordele–Greensboro tornado outbreak
,,,,,,,,,,,,,,,,,,,,,,,,,,"Over 600 houses, 1,000 other structures, 2,000 vehicles","Waco - 114 deaths, San Angelo - 13 deaths, Hebron - 5 deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953 Waco tornado outbreak
"June 8, 1966",543,,,,"Topeka, Kansas",18,,F5,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966 Topeka tornado
"May 11, 1970",,,,,"Lubbock, Texas",26,,F5,$135 million+,8.5 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 Lubbock tornado
"December 3, 1978",,"Bossier City, Louisiana and Arkansas",2,F4,,,,,,,Over $100 million,11,,0.5 miles wide,,,,,,,,,,,,,,,Became fifth tornado in U.S. history to produce $100 million damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 Bossier City tornado outbreak
"May 13, 1980",,,,,"Kalamazoo, Michigan",,,,,11 miles,"$50,000,000 total, $1,800,000 vehicle damage",,"5 deaths, 79 injuries",,16 minutes,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Kalamazoo tornado
"May 12, 1997",,,,,"Miami, Florida",,,,,N/A,"Minor damage, haunting pictures circulated worldwide",,None reported,,N/A,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 Miami tornado
"July 2, 1997",,"Detroit, Michigan; Essex County, Ontario",7,,,,,,,,,13,,,,,,,,,"5 fatalities in Grosse Pointe Farms, MI; local flooding and house destruction; part of a larger tornado outbreak",,,,,,,,,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 Southeast Michigan tornado outbreak
"April 15–16, 1998",12,"Midwestern US, Mississippi, Tennessee Valleys",12,F2 to F5,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 Nashville tornado outbreak
"August 11, 1999",,,,,"Salt Lake City, Utah",,,,,4.25 miles,,,1 fatality,,14 minutes,F2,,,,,,,,,,,,,,,"800-1,000 trees, Outdoor Retailers Association convention booth supervisor Allen Crandy, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Salt Lake City tornado
"March 28, 2000",N/A,,,,"Downtown Fort Worth, Texas",2,,F3,N/A,,,,,250 yards wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 Fort Worth tornado
"August 8, 2007",,,,,"Brooklyn, New York",,,,,9 miles,Tens of millions of U.S. dollars,,Several injuries,,N/A,EF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Brooklyn tornado
March 14-15,,,,,,,,,,,,,"3 deaths, 30 injuries",,,,"Downtown Atlanta, Georgia Dome, CNN Center, and more","Slight risk issued, 2% tornado risk for Atlanta",,,,,,,,,,,,,,2008 Atlanta tornado outbreak,"Widespread damage, building destruction",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Atlanta tornado outbreak
"June 1, 2011",200+,"Western Massachusetts, Western Maine",3,EF3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,"Strongest tornado was a long-track, high-end EF3 tornado causing significant damage to Springfield, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 New England tornado outbreak
"September 20, 2018",31,,1,,,,37,,,,,,,,,,Great Lakes region of the US and National Capital Region of Canada,,,,,,,,,,,,,,,,,,,EF2 to EF3,Significant damage reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 United States–Canada tornado outbreak
"April 9-11, 2009",,Southern United States,,,,5,85,,,,,,,,,,,,,,"Three people killed in wildfires in Texas, moderate risk issued by the Storm Prediction Center, severe weather development along dry line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2009 tornado outbreak
,Numerous,"Iowa, Indiana, Midwest, Mid-Atlantic, Missouri, South",At least 1,F2,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 13–19, 2006",Significant damage reported in Iowa City and Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easter Week 2006 Tornado Outbreak Sequence
"February 23, 1965",6,,,,,,,50% F3,,40 blocks,"$140,000",,,,,"F1, F2, F3",Southern Florida Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 1965 South Florida tornado outbreak
"February 10-11, 2009",,"Central and Eastern United States, Oklahoma",,,,,15,,,Long track through four counties,"Significant damage to homes, 114 residences in Lone Grove destroyed",,"1 death, several injuries",,Nearly an hour,,,,,,,,,,,,,,,,,,,,,,,,,EF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2009 tornado outbreak
"July 17–21, 2006",,,,,,,,,,,,,,,,,"North-central and northeastern North America, Upper Midwest, Ontario, Northeastern United States, Middle Mississippi River Valley",,,,,,,,,,,,,,,,,,,,,,,,"Severe wind storms, powerful thunderstorms",3 million,128 km/h,"Sault Ste. Marie, Manitoulin Island, Sudbury, North Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heat wave of 2006 derecho series
"August 3–4, 2020",26,South Carolina to Connecticut,2,EF3,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Isaias tornado outbreak
"January 7-10, 2008",-,"Central and Southern US, particularly southwestern Missouri and northwestern Arkansas",4,,,,72,,,,,,,,,,,,,,,"Record high temperatures, unseasonably warm air mass, intense wind shear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 2008 tornado outbreak sequence
"January 21–23, 1999",9,Midwestern and Southern United States,3,F3 and others,,,,,,,,127,,,,,,High risk of severe weather issued by the Storm Prediction Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 21–23, 1999 tornado outbreak#Little Rock, Arkansas tornadoes"
"January 21-23, 1999",N/A,Midwestern and Southern United States,9,,,,,,,,,127,,,,,,High risk issued for Central and Eastern Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly F3,"F3 in Little Rock, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 21–23, 1999 tornado outbreak"
"March 28–31, 2007",-,"High Plains from South Dakota to central Texas, Western Nebraska, Western Kansas, Extreme Eastern Colorado, Oklahoma, Texas",,EF?,,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widespread hail and destructive winds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late-March 2007 tornado outbreak
"September 21–23, 2006",10,Central United States,8,F2 to F4,,,48,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late-September 2006 tornado outbreak
"May 2-8, 1999",583,"Central and Eastern United States, Southern Canada",,F5 (Bridge Creek-Moore),,50,,,$1.4 billion,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,List of 1999 Oklahoma Tornado Outbreak tornadoes
"March 27, 1890",,Middle Mississippi Valley,,F2+,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,24,"Downtown Louisville, Kentucky","76 deaths, 200 injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 1890 middle Mississippi Valley tornado outbreak
"March 21-23, 1913",at least 150,"Mississippi, Georgia, Alabama, Nebraska, Iowa",,,,at least 216,,F4,Unknown,,,,,0.25 miles (Omaha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 1913 tornado outbreak sequence#Omaha tornado
"March 14, 1933",,"Nashville, Middle Tennessee region",,,,,,,,,,5+,"44 deaths, 461 injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 1933 Nashville tornado outbreak
"October 17–19, 2007",Many,,,,,5,,,,,,,,,,,,,,,,,,Largest October outbreak until 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 64,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Missouri, Florida, Alabama, Tennessee, Kentucky, Illinois, Indiana, Michigan","Deep low pressure system, moist air from the Gulf of Mexico, dry line formation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-October 2007 tornado outbreak
"November 16, 1992",35,,,,Arkansas,1,,F3,$4.665 million,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"November 15–16, 1955 tornado outbreak"
"November 21–23, 1992",641,,26,F1 to F4,Eastern and Midwestern United States,,,,,160 miles,$300 million,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 1992 tornado outbreak
April 28,79,,,,"Oklahoma City, OK",3,,F3,$3.883 million,,,,,333 yards wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma tornado outbreak of 1960
"Feb 9-10, 1959",358,Midwest and Southeast regions of the United States,,,,21,,F3-F4,,,$53.713 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis tornado outbreak of February 1959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado history of St. Louis
"April 13–15, 2018",27,Midwest to East Coast of the United States,4,EF1 to EF3,,,73,,,,,,,,,,,,18–24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak and blizzard of April 13–15, 2018"
"April 13–16, 2012",6,Great Plains,6,EF1 to EF4,,,Numerous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of April 13–16, 2012"
"April 14-16, 2011",,,,"Largest outbreak in U.S. history, severe destruction",,,178,,,,,,,,,,,,,,,,43,,16 states across the U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of April 14–16, 2011"
"March 21–23, 2022",Multiple,"Texas, Oklahoma, Mississippi, Alabama, Louisiana, South Carolina, Virginia",1 death,EF2 to EF3,,,81,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 21–23, 2022"
"March 29–31, 2022",Unknown,"Midwest, Southern, and Eastern United States",Unknown,,,,"Multiple, including an EF3 in Springdale, Arkansas and an EF1 close to downtown Jackson, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intense EF3 tornado in Florida Panhandle resulting in casualties; Tornado outbreak across multiple states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 29–31, 2022"
"March 2-3, 2020",,"West and Middle Tennessee, Nashville, Mount Juliet, Cookeville",,,,,,,,,,,"25 killed, 309 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EF3, EF4",$1.607 billion,"Alabama, southeastern Missouri, western Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 2–3, 2020"
May 2019 Tornado Outbreak Sequence,,,8,,,,,,,,,,,,,,,,,,,,,13 straight days with at least 8 tornadoes,"Nebraska, Kansas, Texas, Missouri, Oklahoma, Indiana, Iowa, Ohio, and more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,51 (EF3 or stronger),EF3,,,,,,,,,,,,,,,,,,,,,,,Tornado outbreak sequence of May 2019
"May 21–26, 2011","1,000","Midwestern and Southern regions of the United States, Joplin, Missouri",184,EF3 to EF5,,,184,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornado outbreak sequence of May 21–26, 2011"
2006,,,,,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,333",67,4,12,9,3,1,94,,,,,,,,,,,,,,,"Tornadoes of 2006#February 2, also struck Louis Armstrong Airport"
,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,305",81,Fujita scale to Enhanced Fujita Scale,,,,,,,,,,,,Tornadoes of 2007#February 12–13
,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,305",81,54,"February 1, 2007",,,,,,,,Tornadoes of 2007#October 2
,,,58,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,304","1,159","EF4 in Oklahoma on February 10, EF4 in Tennessee on April 10",,,,,Tornadoes of 2009#April 25–26 (United States and Canada)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonnie,7,1,1,Tropical Storm Bonnie
