Location,Impact,Date,VEI,Event,Other Information,Event Name,Start Date,Seismic Activity,Death Toll,Ejected Material,Historical Significance,Amount of Material Ejected,Duration of Activity,Geological History,Sound Distance,Eruption Phases,Duration,Formation of Rift Valley,Damage,Landmarks Destroyed,Volcano Type,Significant Events,Magnitude of Eruption,Ash Coverage,Lahars,Thermal Energy Released,Scale of Eruption,Cities Affected,Amount of Ash Ejected,Volcanic History,Archaeological Dating,Cultural Impact,VEI Rating,Casualties,Significance,Pumice Deposits,Phases,Ash Thickness,Distance of Deposits,Eruption Time,Chronology Significance,Lithofacies Study,Elevation,Composition,Recent Volcanic Activity,Number of Vents,Geological Features,Volcanic Processes,Nature of Eruption,Ejected Material Volume,eruption stages and styles,Geological Features Formed,Cultural Significance,End Date,Eruption Type,Eruption Style,Amount of Ejected Material,Aftermath,Preceding Rest Period,Following Rest Period,Geological Context,trigger
"Samalas volcano, Lombok, Indonesia","Catastrophic, pyroclastic flows, volcanic winter, famines, potential trigger for Little Ice Age",1257,7,,"Creation of Segara Anak caldera with Lake Segara Anak, ongoing activity at Barujari cone, ash fallout reaching Java, deposition of 10+ cubic km of rocks and ash, evidence found in ice cores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257 Samalas eruption
"Sumbawa, Indonesia","Global temperatures lowered in the Year Without a Summer (1816), extreme weather patterns, harvest failures, worldwide climate change, interactions of climate forcing, largest VEI-7 eruption, 160-213 cubic km of material ejected",10 April 1815,7,,,,,,,,,"Several centuries of dormancy, over-pressurization of magma chamber, gradual cooling leading to eruption onset","Increased steaming, small phreatic eruptions, years of dormancy","Exsolution of high-pressure fluid magma, magma chamber formation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815 eruption of Mount Tambora
"Sunda Strait, Indonesia","36,417 deaths attributed to eruption",,,,,1883 eruption of Krakatoa,20 May 1883,Intense seismic activity before eruption,"Heard 3,110 km",,,,,,Heard in 50 locations,"Steam venting, explosions, ash reaching 6 km altitude, eruptions causing unusually high tides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883 eruption of Krakatoa
Mount Tarawera,"Largest and deadliest eruption in New Zealand past 500 years, extensive damage, presumed destruction of Pink and White Terraces",10 June 1886,5,,,,,,Approximately 120,,,,,,,,Approximately 6 hours,17-kilometre-long rift across mountain area forming Waimangu Volcanic Rift Valley,"Extensive damage, ash fall in nearby villages",Pink and White Terraces destroyed,Rhyolitic dome volcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886 eruption of Mount Tarawera
"Skamania County, Washington","Most significant U.S. eruption since 1915, declared most disastrous volcanic eruption in U.S. history","May 18, 1980",5,,,,,,,,,,,,,,,,,,,"Phreatic blasts, major explosive eruption, two-month earthquake and steam-venting episodes, large north slope bulge, sector collapse, subaerial landslide, eruption column, ash deposition, glacier melting, lahars, subsequent eruptions",Large,Deposited in 11 U.S. states and various Canadian provinces,"Reached Columbia River, approximately 50 miles southwest",26 megatons of TNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 eruption of Mount St. Helens
"Luzon Volcanic Arc, Philippines","Ash column reaching 40 km, pyroclastic flows, caldera formation, ashfall reaching the Indian Ocean, global ash cloud, damage to commercial jets, lahars impacting Clark Air Base",June 1991,6,,"Second-largest volcanic eruption of the 20th century, behind the 1912 eruption of Novarupta in Alaska.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 eruption of Mount Pinatubo
"Puyehue-Cordón Caulle, Chile","3,500 people evacuated",,,,,2011–2012 Puyehue-Cordón Caulle,4 June 2011,Increased seismicity reported,,,,,,,,,,,,,,,,,,,Large eruption,"Bariloche, Buenos Aires, Montevideo, Stanley, Porto Alegre, Cape Town, Hobart, Perth, Adelaide, Sydney, Melbourne, Wellington, Auckland, Port Moresby",100 million tons,Cordón Caulle erupts sporadically whereas Puyehue remains dormant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011鈥_012 Puyehue-Cord贸n Caulle eruption
Hunga Tonga-Hunga Ha'apai,"Tsunamis in Tonga, Fiji, American Samoa, Vanuatu, damaging tsunamis in New Zealand, Japan, the United States, the Russian Far East, Chile, and Peru, casualties, missing persons",20 December 2021,VEI-5,,"Largest eruption since 1991 Mount Pinatubo, most powerful since 1883 Krakatoa, compared to Hiroshima atomic bomb by NASA. It was the largest explosion recorded in the atmosphere by modern instrumentation, with the volcano erupting after a period of relative inactivity since 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Hunga Tonga–Hunga Ha'apai eruption and tsunami
"Kikai Caldera, Kyūshū, Japan",,,7,Akahoya eruption,,,,,,150 cubic kilometers,,,,,,,,,,,,,,,,,,,,,"7,300 cal. BP",End of initial Jōmon culture in southern Kyūshū,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akahoya eruption
"Tolima, Colombia",,"November 13, 1985",,Nevado del Ruiz eruption and Armero tragedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided,"23,000 fatalities",Second-deadliest volcanic disaster of the 20th century,,,,,,,,,,,,,,,,,,,,,,,,,,,Armero tragedy
