Location,Containment Date,Wildfire Name,Total Acres Burned,Structures Destroyed,Size,Year,Cause,Structures Damaged,Impact,Duration,Counties Affected,Cause of Fire,Ranking in California History,Impact Locations,Communities Evacuated,Evacuation Orders Issued,Ranking in 2021,Ranking in Recorded History,Start Date,Total Acreage Burned,Rank in California History,Casualties,Total Personnel Deployed,Managing Agencies,Key Features,Cost of Damages,Personnel Involved,Significant Impacts,Event,End Date,Number of Structures Destroyed,Evacuation Locations,Towns Damaged/Destroyed,Suspected Cause,Total Burn Area,Rank in History,Estimated Cost of Damages,Affected Communities,Containment Status,Evacuated Communities,Highway Closure,Injuries Reported,Significance in History,Total Fires,Structures Damaged/Destroyed,Fatalities,State of Emergency,Significant Incidents,Impact/Destruction,Date,Total Acreage,Description,Burn Area,Total Structures Destroyed,Total Structures Damaged,Financial Impact,Number of Evacuees,Suppression Costs,Rank in Size,Rank in Destruction,trigger
,"November 12, 2020",,"1,032,648 acres",N/A,,,,,,"August 16 to November 12, 2020","Glenn, Lake, Mendocino, Tehama, Trinity, Shasta",,Largest fire complex in recorded history of California,,,,,,,,,,"2,900","U.S. Forest Service, California Department of Forestry and Fire Protection","Originated as 38 separate fires from lightning strikes, merged fires, burned Mendocino National Forest and surrounding areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August Complex Fire
,"Thursday, October 21, 2021",,"221,835 acres","1,003",,,,81,,,"El Dorado, Amador, Alpine County, California",Under investigation,,"Highway 50 corridor, Grizzly Flats, Diamond and Caldor Railway route, Omo Ranch, Little Mountain","Meyers, South Lake Tahoe","For more than 20,000 people","Third-largest wildfire, second-most-destructive in 2021 California wildfire season","15th-largest, 16th-most destructive in California history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caldor Fire
,"August 30, 2018",,"229,651 acres","1,604",,,,277,,"July 23 to August 30, 2018",,Flat tire on a vehicle causing sparks that ignited the fire,,,,,,,,,,,,,,$1.659 billion,"4,766","Jumped Sacramento River into Redding, caused evacuations of 38,000 people, eight fatalities including three firefighters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carr Fire
"San Diego County, California",,Cedar Fire,,,"273,246 acres",2003,Santa Ana wind driven,,"2,820 buildings destroyed, 15 fatalities, rapid spread at 3,600 acres per hour, $1.3 billion in damages, fifth deadliest wildfire in state history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Fire
"Sierra National Forest, California",,,,,,,,,,,,,Fifth-largest wildfire,,,,,,"September 4, 2020","379,895 acres",,,,,,,,,Creek Fire,"December 24, 2020",At least 856 buildings,"North Fork, Bass Lake, Big Creek, Shaver, Huntington Lake, Tollhouse, and Auberry, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creek Fire (2020)
"Butte, Plumas, Lassen, Shasta, and Tehama Counties, California","October 25, 2021",Dixie Fire,"963,309 acres",,,,,,,,,,,,,,,,,,"Largest single wildfire in recorded California history, second-largest overall",,,,,,,,,,,,"Greenville (August 4), Canyondam (August 5), Warner Valley (August 12)",PG&E equipment malfunction suspected as the possible cause of fire initiation,,,,,,,,,,,,,,,,,,,,,,,,,,,Dixie Fire
Northern California,,Klamath Theater Complex Fire,,,"192,038 acres",2008,Lightning,,Two firefighters killed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klamath Theater Complex Fire
,,,,"1,491",,,,232,,"August 17 to October 2, 2020",,,,,,,,,,,,"6 killed, 5 injured",,,,,,,,,,,,,"363,220 acres",Fourth-largest wildfire in California,,,,,,,,,,,,,,,,,,,,,,,,,LNU Lightning Complex Fire
"Santa Barbara National Forest, Southern California",,Matilija Fire,,,"220,000 acres",1932,Uncertain (possibly hunter's campfire or exploding tank of butane gas),,"Fourth-largest wildfire in California at the time, significant impact on the area, heavy Santa Ana winds contributed to rapid spread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matilija Fire
,"September 18, 2018",Mendocino Complex Fire,,280,,,,37,,"July 27, 2018 - September 18, 2018",,,,,,,,,,"459,123 acres",,,,,,,,,,,,,,,,,$257 million,"City of Lakeport, Kelseyville, Lucerne, Upper Lake, Nice, Saratoga Springs, Witter Springs, Potter Valley, Finley...",,,,,,,,,,,,,,,,,,,,,,,Mendocino Complex Fire
